ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
216620_s_at	8.91e-03	4.24e-03	5.6211776	ARHGEF10	Rho guanine nucleotide exchange factor 10
215370_at	8.92e-03	4.24e-03	5.6202041		
219251_s_at	8.92e-03	4.24e-03	5.6199346	WDR60	WD repeat domain 60
202826_at	8.92e-03	4.24e-03	5.619755	SPINT1	serine peptidase inhibitor, Kunitz type 1
204203_at	8.93e-03	4.25e-03	5.6187463	CEBPG	CCAAT/enhancer binding protein gamma
220245_at	8.93e-03	4.25e-03	5.6186303	SLC45A2	solute carrier family 45 member 2
213926_s_at	8.94e-03	4.25e-03	5.6176967	AGFG1	ArfGAP with FG repeats 1
213769_at	8.94e-03	4.25e-03	5.6176167	KSR1	kinase suppressor of ras 1
204847_at	8.94e-03	4.25e-03	5.6173124	ZBTB11	zinc finger and BTB domain containing 11
217986_s_at	8.94e-03	4.26e-03	5.6164777	BAZ1A	bromodomain adjacent to zinc finger domain 1A
200922_at	8.94e-03	4.26e-03	5.6164092	KDELR1	KDEL endoplasmic reticulum protein retention receptor 1
204071_s_at	8.95e-03	4.26e-03	5.6161811	TOPORS	TOP1 binding arginine/serine rich protein
213243_at	8.95e-03	4.26e-03	5.6150174	VPS13B	vacuolar protein sorting 13 homolog B
201699_at	8.96e-03	4.26e-03	5.6145973	PSMC6	proteasome 26S subunit, ATPase 6
222176_at	8.96e-03	4.26e-03	5.614591		
219324_at	8.97e-03	4.27e-03	5.6132761	NOL12	nucleolar protein 12
221505_at	8.97e-03	4.27e-03	5.6130791	ANP32E	acidic nuclear phosphoprotein 32 family member E
206646_at	8.98e-03	4.28e-03	5.6119131	GLI1	GLI family zinc finger 1
212862_at	8.98e-03	4.28e-03	5.6115462	CDS2	CDP-diacylglycerol synthase 2
209066_x_at	8.98e-03	4.28e-03	5.6112593	UQCRB	ubiquinol-cytochrome c reductase binding protein
221419_s_at	8.98e-03	4.28e-03	5.6112447		
202738_s_at	9.00e-03	4.29e-03	5.6086573	PHKB	phosphorylase kinase regulatory subunit beta
219146_at	9.00e-03	4.29e-03	5.6080269	TEFM	transcription elongation factor, mitochondrial
219121_s_at	9.00e-03	4.29e-03	5.6079356	ESRP1	epithelial splicing regulatory protein 1
210090_at	9.01e-03	4.29e-03	5.6077528	ARC	activity regulated cytoskeleton associated protein
209035_at	9.01e-03	4.29e-03	5.6077171	MDK	midkine (neurite growth-promoting factor 2)
205424_at	9.01e-03	4.29e-03	5.6074205	TBKBP1	TBK1 binding protein 1
208318_s_at	9.01e-03	4.29e-03	5.6071694	XYLB	xylulokinase
220092_s_at	9.02e-03	4.30e-03	5.6055237	ANTXR1	anthrax toxin receptor 1
208745_at	9.03e-03	4.31e-03	5.6045539	ATP5L	ATP synthase, H+ transporting, mitochondrial Fo complex subunit G
219787_s_at	9.04e-03	4.31e-03	5.6032812	ECT2	epithelial cell transforming 2
219145_at	9.04e-03	4.31e-03	5.6027006	ADGRL1	adhesion G protein-coupled receptor L1
219309_at	9.05e-03	4.32e-03	5.601614	C22orf46	chromosome 22 open reading frame 46
212803_at	9.05e-03	4.32e-03	5.6015519	NAB2	NGFI-A binding protein 2
214505_s_at	9.05e-03	4.32e-03	5.6010196	FHL1	four and a half LIM domains 1
210054_at	9.06e-03	4.32e-03	5.6006297	HAUS3	HAUS augmin like complex subunit 3
219559_at	9.06e-03	4.32e-03	5.6004749	SLC17A9	solute carrier family 17 member 9
221029_s_at	9.06e-03	4.32e-03	5.6001164	WNT5B	Wnt family member 5B
218302_at	9.06e-03	4.32e-03	5.599863	PSENEN	presenilin enhancer gamma-secretase subunit
211323_s_at	9.06e-03	4.33e-03	5.5994897	ITPR1	inositol 1,4,5-trisphosphate receptor type 1
1487_at	9.06e-03	4.33e-03	5.5992811	ESRRA	estrogen related receptor alpha
219232_s_at	9.07e-03	4.33e-03	5.5986746	EGLN3	egl-9 family hypoxia inducible factor 3
202795_x_at	9.07e-03	4.33e-03	5.5982258	TRIOBP	TRIO and F-actin binding protein
200927_s_at	9.07e-03	4.33e-03	5.5979526	RAB14	RAB14, member RAS oncogene family
201524_x_at	9.08e-03	4.34e-03	5.5971121	UBE2N	ubiquitin conjugating enzyme E2 N
216369_at	9.09e-03	4.34e-03	5.5962163		
221531_at	9.09e-03	4.34e-03	5.595969	WDR61	WD repeat domain 61
205457_at	9.09e-03	4.34e-03	5.5956386	C6orf106	chromosome 6 open reading frame 106
217776_at	9.09e-03	4.34e-03	5.5956302	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)
200617_at	9.09e-03	4.34e-03	5.5955882	MLEC	malectin
208805_at	9.09e-03	4.35e-03	5.5948905	KIAA0391///PSMA6	KIAA0391///proteasome subunit alpha 6
204715_at	9.09e-03	4.35e-03	5.5947852	PANX1	pannexin 1
220473_s_at	9.10e-03	4.35e-03	5.5938525	ZCCHC4	zinc finger CCHC-type containing 4
201285_at	9.10e-03	4.35e-03	5.593423	MKRN1	makorin ring finger protein 1
213218_at	9.11e-03	4.35e-03	5.5931172	ZSCAN26	zinc finger and SCAN domain containing 26
212539_at	9.11e-03	4.36e-03	5.592106	CHD1L	chromodomain helicase DNA binding protein 1 like
221723_s_at	9.12e-03	4.36e-03	5.5917544	SLC4A5	solute carrier family 4 member 5
204904_at	9.12e-03	4.36e-03	5.5915074	GJA4	gap junction protein alpha 4
205240_at	9.12e-03	4.36e-03	5.5906855	GPSM2	G-protein signaling modulator 2
207443_at	9.13e-03	4.37e-03	5.5896645	NR2E1	nuclear receptor subfamily 2 group E member 1
217146_at	9.13e-03	4.37e-03	5.5895261	JRK	Jrk helix-turn-helix protein
205614_x_at	9.13e-03	4.37e-03	5.5892149	MST1	macrophage stimulating 1
216248_s_at	9.14e-03	4.37e-03	5.5883272	NR4A2	nuclear receptor subfamily 4 group A member 2
220817_at	9.15e-03	4.38e-03	5.5874393	TRPC4	transient receptor potential cation channel subfamily C member 4
208652_at	9.15e-03	4.38e-03	5.5873862	PPP2CA	protein phosphatase 2 catalytic subunit alpha
205887_x_at	9.15e-03	4.38e-03	5.5872353	MSH3	mutS homolog 3
222331_at	9.15e-03	4.38e-03	5.5869815		
204866_at	9.15e-03	4.38e-03	5.5869224	JADE3	jade family PHD finger 3
219440_at	9.15e-03	4.38e-03	5.5867967	RAI2	retinoic acid induced 2
210226_at	9.18e-03	4.39e-03	5.5832685	NR4A1	nuclear receptor subfamily 4 group A member 1
204677_at	9.18e-03	4.39e-03	5.5829232	CDH5	cadherin 5
210992_x_at	9.18e-03	4.40e-03	5.5828004	FCGR2C	Fc fragment of IgG receptor IIc (gene/pseudogene)
218145_at	9.18e-03	4.40e-03	5.5822614	TRIB3	tribbles pseudokinase 3
205595_at	9.19e-03	4.40e-03	5.5817089	DSG3	desmoglein 3
200955_at	9.19e-03	4.40e-03	5.5813469	IMMT	inner membrane mitochondrial protein
202101_s_at	9.19e-03	4.40e-03	5.5812207	RALB	RALB Ras like proto-oncogene B
217157_x_at	9.20e-03	4.41e-03	5.579811	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
220715_at	9.20e-03	4.41e-03	5.5794111		
201099_at	9.22e-03	4.42e-03	5.5771389	USP9X	ubiquitin specific peptidase 9, X-linked
220097_s_at	9.24e-03	4.43e-03	5.5754737	TMEM104	transmembrane protein 104
212460_at	9.24e-03	4.43e-03	5.5751586	SPTSSA	serine palmitoyltransferase small subunit A
203695_s_at	9.24e-03	4.43e-03	5.5750608	DFNA5	DFNA5, deafness associated tumor suppressor
213251_at	9.24e-03	4.43e-03	5.5750314	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
212449_s_at	9.24e-03	4.43e-03	5.5745031	LYPLA1	lysophospholipase I
206946_at	9.25e-03	4.43e-03	5.5732508	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4
217531_at	9.25e-03	4.44e-03	5.573082		
203458_at	9.26e-03	4.44e-03	5.5723408	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)
219409_at	9.26e-03	4.44e-03	5.5719303	SNIP1	Smad nuclear interacting protein 1
206601_s_at	9.26e-03	4.44e-03	5.5718617	LOC401021///HOXD4///HOXD3	uncharacterized LOC401021///homeobox D4///homeobox D3
211756_at	9.27e-03	4.44e-03	5.5712293	PTHLH	parathyroid hormone like hormone
222100_at	9.29e-03	4.45e-03	5.5688388	CYP2E1	cytochrome P450 family 2 subfamily E member 1
214437_s_at	9.29e-03	4.45e-03	5.5687022	SHMT2	serine hydroxymethyltransferase 2
49306_at	9.29e-03	4.45e-03	5.5685717	RASSF4	Ras association domain family member 4
219338_s_at	9.29e-03	4.46e-03	5.5683299	LRRC49	leucine rich repeat containing 49
201199_s_at	9.29e-03	4.46e-03	5.5674559	PSMD1	proteasome 26S subunit, non-ATPase 1
34187_at	9.30e-03	4.46e-03	5.5670349	RBMS2	RNA binding motif single stranded interacting protein 2
204277_s_at	9.30e-03	4.46e-03	5.5667319	TK2	thymidine kinase 2, mitochondrial
204585_s_at	9.30e-03	4.46e-03	5.566349	L1CAM	L1 cell adhesion molecule
218876_at	9.30e-03	4.46e-03	5.5662063	TPPP3	tubulin polymerization promoting protein family member 3
207285_x_at	9.30e-03	4.46e-03	5.566155	CSHL1	chorionic somatomammotropin hormone like 1
211625_s_at	9.30e-03	4.47e-03	5.5656221	DRD3	dopamine receptor D3
212360_at	9.30e-03	4.47e-03	5.5655044	AMPD2	adenosine monophosphate deaminase 2
211590_x_at	9.31e-03	4.47e-03	5.5650871	TBXA2R	thromboxane A2 receptor
218079_s_at	9.31e-03	4.47e-03	5.5646915	GGNBP2	gametogenetin binding protein 2
216220_s_at	9.33e-03	4.48e-03	5.5617939	ADORA1	adenosine A1 receptor
213612_x_at	9.34e-03	4.48e-03	5.5616254	NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF12///NBPF14	neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 14
206392_s_at	9.34e-03	4.48e-03	5.5614364	RARRES1	retinoic acid receptor responder 1
214401_at	9.35e-03	4.49e-03	5.5598798	PAX1	paired box 1
204245_s_at	9.35e-03	4.49e-03	5.5597405	RPP14	ribonuclease P/MRP subunit p14
204350_s_at	9.35e-03	4.49e-03	5.5596762	MED7	mediator complex subunit 7
217090_at	9.35e-03	4.49e-03	5.5591276	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)
205837_s_at	9.36e-03	4.50e-03	5.5587515	GYPA	glycophorin A (MNS blood group)
205428_s_at	9.36e-03	4.50e-03	5.5584326	CALB2	calbindin 2
216565_x_at	9.36e-03	4.50e-03	5.5581707		
211429_s_at	9.36e-03	4.50e-03	5.5577156	SERPINA1	serpin family A member 1
201688_s_at	9.37e-03	4.50e-03	5.55694	TPD52	tumor protein D52
218200_s_at	9.38e-03	4.51e-03	5.5556121	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2
217608_at	9.38e-03	4.51e-03	5.5549724	SREK1IP1	SREK1 interacting protein 1
212918_at	9.38e-03	4.51e-03	5.5548012	RECQL	RecQ like helicase
205096_at	9.38e-03	4.51e-03	5.5546713	POM121	POM121 transmembrane nucleoporin
211455_at	9.38e-03	4.51e-03	5.55458		
214000_s_at	9.38e-03	4.51e-03	5.5544815	RGS10	regulator of G-protein signaling 10
208093_s_at	9.40e-03	4.52e-03	5.5531725	NDEL1	nudE neurodevelopment protein 1 like 1
204927_at	9.40e-03	4.52e-03	5.5530117	RASSF7	Ras association domain family member 7
205452_at	9.40e-03	4.52e-03	5.5529338	PIGB	phosphatidylinositol glycan anchor biosynthesis class B
204971_at	9.40e-03	4.52e-03	5.5528576	CSTA	cystatin A
212928_at	9.41e-03	4.53e-03	5.5508383	TSPYL4	TSPY like 4
221873_at	9.41e-03	4.53e-03	5.5505022	ZNF143	zinc finger protein 143
211692_s_at	9.42e-03	4.53e-03	5.5497025	MIR3190///MIR3191///BBC3	microRNA 3190///microRNA 3191///BCL2 binding component 3
211330_s_at	9.43e-03	4.54e-03	5.548989	HFE	hemochromatosis
219711_at	9.43e-03	4.54e-03	5.5481237	ZNF586	zinc finger protein 586
211507_s_at	9.45e-03	4.55e-03	5.5464884	MTMR3	myotubularin related protein 3
211786_at	9.45e-03	4.55e-03	5.5461868	TNFRSF9	TNF receptor superfamily member 9
221763_at	9.45e-03	4.55e-03	5.5460543	JMJD1C	jumonji domain containing 1C
208095_s_at	9.45e-03	4.55e-03	5.5459476	SRP72	signal recognition particle 72
213787_s_at	9.46e-03	4.55e-03	5.5450109	EBP	emopamil binding protein (sterol isomerase)
204964_s_at	9.46e-03	4.56e-03	5.5447854	SSPN	sarcospan
216710_x_at	9.48e-03	4.57e-03	5.5416847	ZNF287	zinc finger protein 287
206906_at	9.49e-03	4.57e-03	5.5414642	ICAM5	intercellular adhesion molecule 5
210653_s_at	9.49e-03	4.57e-03	5.5413879	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta
201121_s_at	9.49e-03	4.57e-03	5.541099	PGRMC1	progesterone receptor membrane component 1
209825_s_at	9.49e-03	4.58e-03	5.5402652	MIR3658///UCK2	microRNA 3658///uridine-cytidine kinase 2
215502_at	9.50e-03	4.58e-03	5.5398314		
216629_at	9.50e-03	4.58e-03	5.5389722	SRRM2	serine/arginine repetitive matrix 2
203925_at	9.51e-03	4.58e-03	5.538678	GCLM	glutamate-cysteine ligase modifier subunit
218650_at	9.51e-03	4.58e-03	5.5382124	MIR1306///DGCR8	microRNA 1306///DGCR8 microprocessor complex subunit
212521_s_at	9.53e-03	4.59e-03	5.5359771	PDE8A	phosphodiesterase 8A
218946_at	9.53e-03	4.60e-03	5.5351368	NFU1	NFU1 iron-sulfur cluster scaffold
201610_at	9.54e-03	4.60e-03	5.5349305	ICMT	isoprenylcysteine carboxyl methyltransferase
205305_at	9.54e-03	4.60e-03	5.5347735	FGL1	fibrinogen like 1
212713_at	9.54e-03	4.60e-03	5.5344742	MFAP4	microfibrillar associated protein 4
207327_at	9.54e-03	4.60e-03	5.5344235	EYA4	EYA transcriptional coactivator and phosphatase 4
220335_x_at	9.54e-03	4.60e-03	5.5340743	CES3	carboxylesterase 3
214202_at	9.54e-03	4.60e-03	5.5337571		
214782_at	9.57e-03	4.62e-03	5.5311022	CTTN	cortactin
215399_s_at	9.58e-03	4.62e-03	5.5296917	OS9	OS9, endoplasmic reticulum lectin
218430_s_at	9.58e-03	4.62e-03	5.529296	RFX7	regulatory factor X7
212772_s_at	9.59e-03	4.63e-03	5.5285086	ABCA2	ATP binding cassette subfamily A member 2
213928_s_at	9.59e-03	4.63e-03	5.5280432	AGFG1	ArfGAP with FG repeats 1
204288_s_at	9.59e-03	4.63e-03	5.5279888	SORBS2	sorbin and SH3 domain containing 2
213012_at	9.59e-03	4.63e-03	5.5279004	NEDD4	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase
206303_s_at	9.59e-03	4.63e-03	5.5277942	NUDT4P1///NUDT4P2///NUDT4	nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4
212516_at	9.60e-03	4.64e-03	5.5263382	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1
203564_at	9.60e-03	4.64e-03	5.5262769	FANCG	Fanconi anemia complementation group G
209661_at	9.60e-03	4.64e-03	5.5257395	KIFC3	kinesin family member C3
212694_s_at	9.61e-03	4.64e-03	5.5251867	PCCB	propionyl-CoA carboxylase beta subunit
212134_at	9.62e-03	4.64e-03	5.5244116	MIR6716///PHLDB1	microRNA 6716///pleckstrin homology like domain family B member 1
45687_at	9.62e-03	4.65e-03	5.5237903	PRR14	proline rich 14
219106_s_at	9.62e-03	4.65e-03	5.5232359	KLHL41	kelch like family member 41
222248_s_at	9.63e-03	4.65e-03	5.522363	SIRT4	sirtuin 4
205258_at	9.64e-03	4.66e-03	5.5214147	INHBB	inhibin beta B subunit
218193_s_at	9.64e-03	4.66e-03	5.5212344	GOLT1B	golgi transport 1B
221410_x_at	9.64e-03	4.66e-03	5.5207008	PCDHB3	protocadherin beta 3
202985_s_at	9.64e-03	4.66e-03	5.5205509	BAG5	BCL2 associated athanogene 5
216035_x_at	9.64e-03	4.66e-03	5.5205014	TCF7L2	transcription factor 7 like 2
219679_s_at	9.64e-03	4.66e-03	5.5204567	WAC	WW domain containing adaptor with coiled-coil
216608_at	9.65e-03	4.67e-03	5.5195792	DKFZP434A062	uncharacterized LOC26102
205563_at	9.65e-03	4.67e-03	5.5193172	KISS1	KiSS-1 metastasis-suppressor
213813_x_at	9.66e-03	4.67e-03	5.5180106		
218271_s_at	9.67e-03	4.68e-03	5.5169779	PARL	presenilin associated rhomboid like
215206_at	9.68e-03	4.68e-03	5.5154947		
212254_s_at	9.68e-03	4.68e-03	5.5153711	DST	dystonin
37966_at	9.69e-03	4.69e-03	5.5145176	PARVB	parvin beta
217186_at	9.69e-03	4.69e-03	5.5140883	ZNF259P1	zinc finger protein 259 pseudogene 1
215309_at	9.69e-03	4.69e-03	5.5139296	ZNF674	zinc finger protein 674
201934_at	9.69e-03	4.69e-03	5.5139083	WDR82	WD repeat domain 82
205047_s_at	9.70e-03	4.70e-03	5.5128063	ASNS	asparagine synthetase (glutamine-hydrolyzing)
209701_at	9.71e-03	4.70e-03	5.5122721	ERAP1	endoplasmic reticulum aminopeptidase 1
212325_at	9.71e-03	4.70e-03	5.5120135	LIMCH1	LIM and calponin homology domains 1
204537_s_at	9.71e-03	4.70e-03	5.5115022	MIR452///MIR224///GABRE	microRNA 452///microRNA 224///gamma-aminobutyric acid type A receptor epsilon subunit
203682_s_at	9.71e-03	4.70e-03	5.5114261	IVD	isovaleryl-CoA dehydrogenase
221973_at	9.71e-03	4.70e-03	5.511386	LOC100506123///LOC100506076	uncharacterized LOC100506123///uncharacterized LOC100506076
222231_s_at	9.71e-03	4.70e-03	5.5111872	LRRC59	leucine rich repeat containing 59
219035_s_at	9.71e-03	4.70e-03	5.5110664	RNF34	ring finger protein 34
218008_at	9.71e-03	4.70e-03	5.5108451	TMEM248	transmembrane protein 248
206368_at	9.71e-03	4.70e-03	5.5108225	CPLX2	complexin 2
208365_s_at	9.72e-03	4.71e-03	5.5102096	GRK4	G protein-coupled receptor kinase 4
213978_at	9.72e-03	4.71e-03	5.5100959	MTSS1L	metastasis suppressor 1 like
206748_s_at	9.72e-03	4.71e-03	5.5095193	SPAG9	sperm associated antigen 9
205502_at	9.72e-03	4.71e-03	5.5093538	CYP17A1	cytochrome P450 family 17 subfamily A member 1
217624_at	9.73e-03	4.72e-03	5.5083102	PDAP1	PDGFA associated protein 1
212818_s_at	9.73e-03	4.72e-03	5.5082262	ASB1	ankyrin repeat and SOCS box containing 1
203080_s_at	9.73e-03	4.72e-03	5.5080047	BAZ2B	bromodomain adjacent to zinc finger domain 2B
220487_at	9.74e-03	4.72e-03	5.5075818	SNTG2	syntrophin gamma 2
201417_at	9.75e-03	4.73e-03	5.5062377	SOX4	SRY-box 4
208102_s_at	9.75e-03	4.73e-03	5.5061446	PSD	pleckstrin and Sec7 domain containing
218518_at	9.75e-03	4.73e-03	5.5055303	FAM13B	family with sequence similarity 13 member B
216916_s_at	9.77e-03	4.74e-03	5.5038765	DLGAP2	DLG associated protein 2
210250_x_at	9.77e-03	4.74e-03	5.5030464	ADSL	adenylosuccinate lyase
214980_at	9.77e-03	4.74e-03	5.5029319	UBE3A	ubiquitin protein ligase E3A
210852_s_at	9.77e-03	4.74e-03	5.5026486	AASS	aminoadipate-semialdehyde synthase
207904_s_at	9.77e-03	4.74e-03	5.5025264	LNPEP	leucyl and cystinyl aminopeptidase
64438_at	9.77e-03	4.74e-03	5.5024671	OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3
208592_s_at	9.77e-03	4.74e-03	5.5023867	CD1E	CD1e molecule
204500_s_at	9.77e-03	4.74e-03	5.5022117	AGTPBP1	ATP/GTP binding protein 1
216675_at	9.77e-03	4.74e-03	5.5021531		
221782_at	9.78e-03	4.74e-03	5.5019625	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10
210484_s_at	9.78e-03	4.75e-03	5.5016908	LOC254896///TNFRSF10C	uncharacterized LOC254896///TNF receptor superfamily member 10c
205536_at	9.78e-03	4.75e-03	5.5013968	VAV2	vav guanine nucleotide exchange factor 2
205811_at	9.79e-03	4.75e-03	5.5005285	POLG2	DNA polymerase gamma 2, accessory subunit
219130_at	9.79e-03	4.75e-03	5.4995967	TRMT13	tRNA methyltransferase 13 homolog
207075_at	9.79e-03	4.76e-03	5.499467	NLRP3	NLR family pyrin domain containing 3
220185_at	9.80e-03	4.76e-03	5.498946	SPTBN4	spectrin beta, non-erythrocytic 4
205157_s_at	9.80e-03	4.76e-03	5.4987838	KRT17///JUP	keratin 17///junction plakoglobin
201611_s_at	9.81e-03	4.77e-03	5.4973064	ICMT	isoprenylcysteine carboxyl methyltransferase
203310_at	9.81e-03	4.77e-03	5.4972341	STXBP3	syntaxin binding protein 3
207108_s_at	9.82e-03	4.77e-03	5.4967521	NIPBL	NIPBL, cohesin loading factor
212476_at	9.82e-03	4.77e-03	5.4966104	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
216316_x_at	9.82e-03	4.77e-03	5.4957237	GK6P	glycerol kinase 6 pseudogene
201114_x_at	9.83e-03	4.78e-03	5.4949804	PSMA7	proteasome subunit alpha 7
213617_s_at	9.83e-03	4.78e-03	5.494536	TPGS2	tubulin polyglutamylase complex subunit 2
200934_at	9.84e-03	4.78e-03	5.4939341	DEK	DEK proto-oncogene
202580_x_at	9.84e-03	4.78e-03	5.4936469	FOXM1	forkhead box M1
201819_at	9.84e-03	4.78e-03	5.4934621	SCARB1	scavenger receptor class B member 1
205708_s_at	9.84e-03	4.79e-03	5.4928805	TRPM2	transient receptor potential cation channel subfamily M member 2
215905_s_at	9.85e-03	4.79e-03	5.491617	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40
201996_s_at	9.85e-03	4.79e-03	5.4916137	SPEN	spen family transcriptional repressor
210908_s_at	9.85e-03	4.79e-03	5.4915851	PFDN5	prefoldin subunit 5
204080_at	9.86e-03	4.80e-03	5.490494	TOE1	target of EGR1, member 1 (nuclear)
211646_at	9.87e-03	4.80e-03	5.4894868	LOC102725526///IGHM///IGHG3///IGHG2///IGHG1///IGHA1///IGH	uncharacterized LOC102725526///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
211595_s_at	9.87e-03	4.80e-03	5.4890001	MRPS11	mitochondrial ribosomal protein S11
210579_s_at	9.87e-03	4.80e-03	5.4889556	TRIM10	tripartite motif containing 10
204379_s_at	9.87e-03	4.80e-03	5.4888212	FGFR3	fibroblast growth factor receptor 3
219633_at	9.88e-03	4.80e-03	5.4885559	TTPAL	alpha tocopherol transfer protein like
203102_s_at	9.88e-03	4.81e-03	5.4882393	MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
208990_s_at	9.88e-03	4.81e-03	5.4879624	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3
216133_at	9.89e-03	4.81e-03	5.4863429	YME1L1	YME1 like 1 ATPase
204716_at	9.90e-03	4.82e-03	5.4858499	CCDC6	coiled-coil domain containing 6
217942_at	9.90e-03	4.82e-03	5.4857454	MRPS35	mitochondrial ribosomal protein S35
213304_at	9.90e-03	4.82e-03	5.4855329	FAM179B	family with sequence similarity 179 member B
204330_s_at	9.90e-03	4.82e-03	5.4853692	MRPS12	mitochondrial ribosomal protein S12
218816_at	9.90e-03	4.82e-03	5.4849073	LRRC1	leucine rich repeat containing 1
210792_x_at	9.90e-03	4.82e-03	5.4846189	SIVA1	SIVA1 apoptosis inducing factor
210651_s_at	9.90e-03	4.82e-03	5.4845019	EPHB2	EPH receptor B2
214411_x_at	9.90e-03	4.82e-03	5.4844594	CTRB2	chymotrypsinogen B2
208901_s_at	9.91e-03	4.83e-03	5.483422	TOP1	topoisomerase (DNA) I
207140_at	9.91e-03	4.83e-03	5.4833305	ALPI	alkaline phosphatase, intestinal
213855_s_at	9.92e-03	4.83e-03	5.4823738	LIPE	lipase E, hormone sensitive type
221478_at	9.93e-03	4.84e-03	5.4818172	BNIP3L	BCL2 interacting protein 3 like
204611_s_at	9.93e-03	4.84e-03	5.4815698	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta
208749_x_at	9.93e-03	4.84e-03	5.4813997	FLOT1	flotillin 1
206914_at	9.93e-03	4.84e-03	5.4808628	CRTAM	cytotoxic and regulatory T-cell molecule
209845_at	9.94e-03	4.85e-03	5.4793477	MKRN1	makorin ring finger protein 1
219053_s_at	9.95e-03	4.85e-03	5.4784869	VPS37C	VPS37C, ESCRT-I subunit
204405_x_at	9.95e-03	4.85e-03	5.4784867	DIMT1	DIM1 dimethyladenosine transferase 1 homolog
212582_at	9.95e-03	4.85e-03	5.4781094	OSBPL8	oxysterol binding protein like 8
218080_x_at	9.95e-03	4.85e-03	5.4780737	FAF1	Fas associated factor 1
209833_at	9.96e-03	4.86e-03	5.4771721	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain
208581_x_at	9.96e-03	4.86e-03	5.4770515	MT1X	metallothionein 1X
213023_at	9.97e-03	4.86e-03	5.4760127	UTRN	utrophin
219872_at	9.98e-03	4.87e-03	5.4744699	FAM198B	family with sequence similarity 198 member B
37462_i_at	9.99e-03	4.87e-03	5.4741805	SF3A2	splicing factor 3a subunit 2
207172_s_at	9.99e-03	4.87e-03	5.473896	CDH11	cadherin 11
203559_s_at	9.99e-03	4.87e-03	5.4735348	AOC1	amine oxidase, copper containing 1
201898_s_at	9.99e-03	4.88e-03	5.4728939	UBE2A	ubiquitin conjugating enzyme E2 A
204850_s_at	1.00e-02	4.88e-03	5.4727382	DCX	doublecortin
216457_s_at	1.00e-02	4.88e-03	5.4712991	SF3A1	splicing factor 3a subunit 1
212619_at	1.00e-02	4.89e-03	5.4704624	NEMP1	nuclear envelope integral membrane protein 1
200792_at	1.00e-02	4.89e-03	5.4697	XRCC6	X-ray repair cross complementing 6
212749_s_at	1.00e-02	4.89e-03	5.4693518	RCHY1	ring finger and CHY zinc finger domain containing 1
211722_s_at	1.00e-02	4.89e-03	5.4691819	HDAC6	histone deacetylase 6
205360_at	1.00e-02	4.89e-03	5.4691037	PFDN4	prefoldin subunit 4
219207_at	1.00e-02	4.90e-03	5.4686208	EDC3	enhancer of mRNA decapping 3
206506_s_at	1.00e-02	4.90e-03	5.4685361	SUPT3H	SPT3 homolog, SAGA and STAGA complex component
218129_s_at	1.00e-02	4.90e-03	5.4674795	NFYB	nuclear transcription factor Y subunit beta
202677_at	1.00e-02	4.90e-03	5.466762	RASA1	RAS p21 protein activator 1
208389_s_at	1.00e-02	4.91e-03	5.4663108	SLC1A2	solute carrier family 1 member 2
221151_at	1.00e-02	4.91e-03	5.466123	PRDM9	PR/SET domain 9
203689_s_at	1.01e-02	4.91e-03	5.4654488	FMR1	fragile X mental retardation 1
220190_s_at	1.01e-02	4.91e-03	5.464815	STON1-GTF2A1L///GTF2A1L	STON1-GTF2A1L readthrough///general transcription factor IIA subunit 1 like
216718_at	1.01e-02	4.91e-03	5.4647786	LINC00302	long intergenic non-protein coding RNA 302
215579_at	1.01e-02	4.93e-03	5.4619603	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G
